,External_Product,Internal_Product
0,5 HOUR XTRA GRAPE 1.93 OZ,NULL
1,B - PB & HONEY SAMMICH,NULL
2,B - RUDY FARMS - SAUSAGE AND BISCUIT TWIN,NULL
3,BANANAS - FRESH,NULL
4,BOBOS PB&J GRAPE 2.1 OZ,NULL
5,BODY ARMOR STRWBRY BANANA 16 OZ,NULL
6,BR ESPRESSO W/ CREAM 11 OZ,NULL
7,Bumble Bee Tuna Salad 3.5oz,Bumble Bee Tuna Salad with Crackers (3.5oz)
8,CELSIUS ORANGE ENERGY 12 OZ,NULL
9,CELSIUS PEACH VIBE 12 OZ,Celsius Sparkling Peach Vibe (12oz)
10,DIET MOUNTAIN DEW 20 OZ,NULL
11,DOLE STRWBRY LEMONADE 20 OZ,NULL
12,DOVE BAR DARK CHOC 1.44 OZ,Dove Dark Chocolate Bar (1.44oz)
13,Dr Pepper 12oz Can,NULL
14,F - TURKEY HAM CHS HM WRAP,NULL
15,F- WHITE CASTLE BREAKFAST SANDWICH,NULL
16,FAIRLIFE 2% STRAWBERRY MILK 14 OZ,Fairlife 2% Ultra Filtered Strawberry Milk (14oz)
17,FL Doritos Spicy Sweet Chili LSS 1.75oz Bag,NULL
18,GRANDMA'S MINI VN 3.7 OZ,NULL
19,Haribo Gold-Bears Gummi Candy 4oz.,NULL
20,HY Hersheys Milk Chocolate w Almonds 1.45oz Each,Hersheys Milk Chocolate with Almonds (1.45oz)
21,KF - NY MIXED BERRY CHSCAKE CUP,NULL
22,Kraft Mac & Cheese Original Cups 2.05 oz.,Kraft Macaroni & Cheese Original (2.05oz)
23,LSS-BRIM'S BBQ PORK RINDS,NULL
24,LSS-CRUNCHY CHEETO,NULL
25,LSS-DORITOS COOL RANCH,NULL
26,LSS-FLAMIN HOT CHEETOS,NULL
27,LSS-RUFFLES CHDR & SOUR CREAM,NULL
28,M&M PLAIN,NULL
29,MF-BOSTON CREME HONEY BUN,NULL
30,MF-CHOCOLATE MINI DONUTS,NULL
31,MINUTE MAID FRUIT PUNCH 20 OZ,NULL
32,MOUNTAIN DEW ZERO 20 OZ,NULL
33,ORANGE FANTA 20 OZ,NULL
34,Pillsbury Mini SOFT BAKED Chocolate Chip Cookies Bag 3oz,Pillsbury Mini Soft Baked Confetti Cookies (3oz)
35,Pillsbury Soft Baked Confetti Cookies 3oz,Pillsbury Mini Soft Baked Confetti Cookies (3oz)
36,POP CHIP BBQ .8 OZ,NULL
37,SKITTLES ORIG GUMMIES 5.8 OZ,NULL
38,STARBUCKS DOUBLESHOT + ENG-VAN 15 OZ,Starbucks DoubleShot Energy Caramel (15oz)
39,STONIES PEPR/CHS/JAL .98 OZ,NULL
40,Sweet Serenity Choc Chip 3 oz,Sweet Serenity Chocolate Chip Bite Size Cookies (3oz)
41,SWEET SERENITY CHOC CHIP COOKIES 3 OZ,Sweet Serenity Chocolate Chip Bite Size Cookies (3oz)
42,YOO HOO CHOC. 11 OZ CANS,Yoo-hoo Chocolate Drink Can (11oz)
