Internal_Product,5 HOUR XTRA GRAPE 1.93 OZ,B - PB & HONEY SAMMICH,B - RUDY FARMS - SAUSAGE AND BISCUIT TWIN,BANANAS - FRESH,BOBOS PB&J GRAPE 2.1 OZ,BODY ARMOR STRWBRY BANANA 16 OZ,BR ESPRESSO W/ CREAM 11 OZ,Bumble Bee Tuna Salad 3.5oz,CELSIUS ORANGE ENERGY 12 OZ,CELSIUS PEACH VIBE 12 OZ,DIET MOUNTAIN DEW 20 OZ,DOLE STRWBRY LEMONADE 20 OZ,DOVE BAR DARK CHOC 1.44 OZ,Dr Pepper 12oz Can,F - TURKEY HAM CHS HM WRAP,F- WHITE CASTLE BREAKFAST SANDWICH,FAIRLIFE 2% STRAWBERRY MILK 14 OZ,FL Doritos Spicy Sweet Chili LSS 1.75oz Bag,GRANDMA'S MINI VN 3.7 OZ,Haribo Gold-Bears Gummi Candy 4oz.,HY Hersheys Milk Chocolate w Almonds 1.45oz Each,KF - NY MIXED BERRY CHSCAKE CUP,Kraft Mac & Cheese Original Cups 2.05 oz.,LSS-BRIM'S BBQ PORK RINDS,LSS-CRUNCHY CHEETO,LSS-DORITOS COOL RANCH,LSS-FLAMIN HOT CHEETOS,LSS-RUFFLES CHDR & SOUR CREAM,M&M PLAIN,MF-BOSTON CREME HONEY BUN,MF-CHOCOLATE MINI DONUTS,MINUTE MAID FRUIT PUNCH 20 OZ,MOUNTAIN DEW ZERO 20 OZ,ORANGE FANTA 20 OZ,Pillsbury Mini SOFT BAKED Chocolate Chip Cookies Bag 3oz,Pillsbury Soft Baked Confetti Cookies 3oz,POP CHIP BBQ .8 OZ,SKITTLES ORIG GUMMIES 5.8 OZ,STARBUCKS DOUBLESHOT + ENG-VAN 15 OZ,STONIES PEPR/CHS/JAL .98 OZ,Sweet Serenity Choc Chip 3 oz,SWEET SERENITY CHOC CHIP COOKIES 3 OZ,YOO HOO CHOC. 11 OZ CANS
3 Musketeers Dark Chocolate Mint (1.24oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costco Chocolate Mini (4.69lb),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove Dark Chocolate Bars (1.3oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fisher's Chocolate Peanuts (3.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haribo Gummi Gold-Bears (2oz),,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Heide Gummi Bears (1.4oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hersheys Milk Chocolate (2.1oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hersheys Milk Chocolate with Almonds (1.45oz),,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Hersheys Milk Chocolate with Almonds (1.85oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hersheys Milk Duds (1.85oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hersheys Milk Chocolate with Almonds (2.1oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirkland Signature All Chocolate Mix (90oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&M Dark Chocolate (1.69oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milky Way (2.05oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Gummi Factory Gummi Bears (4.5oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sconza Gummy Bears (4oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
